Designator,Manufacturer Part Number,Quantity
LED1,LEDCHIPLED_0805,1
C7,0.1UF-0603-25V-(+80/-20%),1
"R2, R4",100K_R0603,2
"R1, R3, R7",100R_R0603,3
"C2,C6",100nF:C0603,2
"R6, R10, R12",10K_R0603,3
"C1, C5",10UF-0603-6.3V-20%,2
"R5, R9",15K_R0603,2
"R8, R13",1K_R0603,2
"D1,D2",1N4148WSF,2
R14,R-US_R0603,1
"Q1, Q2",MOSFET-NCH-AO3404A,2
U1,ATMEGA328P_TQFP,1
U3,BH1750FVI-TR,1
BUZZ1,CSET8-5G,1
Y1,CSTCE8M00G52Z-R0,1
J1,XF2L-0625-1,1
LD11172.5V,LD1117-3.3,1
